iter	Logloss
0	0.6898552979
1	0.6846065936
2	0.6790591256
3	0.6744815639
4	0.6702385722
5	0.6656049645
6	0.6631411068
7	0.659438616
8	0.6555869987
9	0.6535783674
10	0.6495786612
11	0.645640104
12	0.6423582378
13	0.6395845055
14	0.6363363018
15	0.6328877313
16	0.6295742324
17	0.6261339069
18	0.6235740438
19	0.6214000367
20	0.6179067964
21	0.6158926455
22	0.6137054293
23	0.6114702909
24	0.6089501628
25	0.6072648984
26	0.6046655049
27	0.602295381
28	0.5990705569
29	0.5959698445
30	0.5940283392
31	0.5926319776
32	0.5908581047
33	0.5892099824
34	0.5873397249
35	0.5855926802
36	0.58384909
37	0.5820592302
38	0.5795496738
39	0.5774384599
40	0.5754495766
41	0.5725947932
42	0.5710101671
43	0.5683209821
44	0.5673819483
45	0.5660538034
46	0.5639914397
47	0.561810673
48	0.5606404756
49	0.5587097581
50	0.5563067628
51	0.5546036765
52	0.5531257316
53	0.5521727464
54	0.5499246387
55	0.5473363929
56	0.5459134681
57	0.5441898861
58	0.5426962613
59	0.5416870868
60	0.5395619881
61	0.5378573992
62	0.5364740964
63	0.5339758871
64	0.5329670677
65	0.5318066784
66	0.5311257248
67	0.5294554946
68	0.527791814
69	0.5266654004
70	0.5242340885
71	0.5228760725
72	0.5215536201
73	0.5204578353
74	0.5193784252
75	0.5182059189
76	0.5165819921
77	0.5156624939
78	0.5148303811
79	0.5137421107
80	0.5122670811
81	0.5113583935
82	0.5104433464
83	0.5091321892
84	0.507567235
85	0.5068393377
86	0.505972179
87	0.5052904358
88	0.5043645862
89	0.5029004191
90	0.5018563882
91	0.5003787513
92	0.4991901572
93	0.4985882436
94	0.4972867765
95	0.4959231995
96	0.4945857329
97	0.4927386652
98	0.4917132364
99	0.4906528761
100	0.4895952986
101	0.4884432173
102	0.4872024332
103	0.48576629
104	0.4851127436
105	0.4839601669
106	0.4826111806
107	0.4815546688
108	0.48011159
109	0.4789943579
110	0.477783263
111	0.4770516011
112	0.4759616948
113	0.4749320579
114	0.4739607155
115	0.4731429051
116	0.4716047259
117	0.4705002287
118	0.4691396004
119	0.4687364169
120	0.4674947091
121	0.4660705221
122	0.4652088579
123	0.4645455114
124	0.4637488284
125	0.4628806596
126	0.4621606768
127	0.460808943
128	0.4596644525
129	0.4587596953
130	0.4577590252
131	0.4563363573
132	0.4553348168
133	0.4541959539
134	0.4532880428
135	0.4526325388
136	0.4518569606
137	0.4508649577
138	0.4498637763
139	0.4485300094
140	0.4473648283
141	0.4466115306
142	0.4456080331
143	0.444673542
144	0.4438635164
145	0.4430910617
146	0.4421123523
147	0.4414244353
148	0.4405535251
149	0.439542083
150	0.4385295946
151	0.4379590685
152	0.4371366382
153	0.435703686
154	0.434678284
155	0.4338148595
156	0.4327737371
157	0.4308745946
158	0.4301479
159	0.4289406855
160	0.4281140481
161	0.4273917046
162	0.4263107573
163	0.4254145079
164	0.4242568133
165	0.4229190314
166	0.4223747571
167	0.4217265486
168	0.4205982945
169	0.419414695
170	0.4184799917
171	0.4177787911
172	0.4170123769
173	0.4158102342
174	0.4151337978
175	0.4139046844
176	0.4128533977
177	0.4117154901
178	0.4106981454
179	0.4097582717
180	0.4089909894
181	0.4081317808
182	0.4070535908
183	0.4065559584
184	0.4056159163
185	0.4050058422
186	0.4036752992
187	0.4030884564
188	0.4022495599
189	0.4013526326
190	0.4004676081
191	0.3996058471
192	0.3987291719
193	0.3976145437
194	0.3970695279
195	0.3959445356
196	0.3950096522
197	0.3942168845
198	0.3930228282
199	0.3917726802
200	0.3907537897
201	0.3896302022
202	0.3889444022
203	0.3881641342
204	0.3864450621
205	0.3854947144
206	0.3844159247
207	0.3838553795
208	0.3829987967
209	0.3813803939
210	0.3806853053
211	0.379818995
212	0.3788516234
213	0.3776746513
214	0.3769261576
215	0.3763421388
216	0.3759363954
217	0.3751670459
218	0.3742100341
219	0.3736071502
220	0.3729163375
221	0.3719459226
222	0.3711374478
223	0.3704933346
224	0.3695611067
225	0.3688584661
226	0.3679640037
227	0.3669257769
228	0.3662156045
229	0.3655655264
230	0.3646171305
231	0.3637504672
232	0.362974732
233	0.3621219162
234	0.3609538275
235	0.3603565316
236	0.3597232459
237	0.3592359734
238	0.3585696325
239	0.3580667789
240	0.3571843698
241	0.3562580624
242	0.3553684595
243	0.3548140113
244	0.3538059485
245	0.3530406486
246	0.3522816842
247	0.3515119295
248	0.3503901018
249	0.3498340872
250	0.3490313857
251	0.3484761601
252	0.3475255517
253	0.3467375449
254	0.3462677086
255	0.3457948097
256	0.3451327035
257	0.3444686566
258	0.3434606281
259	0.342848523
260	0.3419138041
261	0.3413129888
262	0.3405623029
263	0.3398472219
264	0.3392887241
265	0.3385419231
266	0.3379336894
267	0.3375091096
268	0.336859172
269	0.335826912
270	0.335158648
271	0.3345677717
272	0.3338229142
273	0.3331117331
274	0.3323649046
275	0.3318796582
276	0.3314690692
277	0.330901836
278	0.3298645579
279	0.329103548
280	0.3285650151
281	0.327808338
282	0.326951522
283	0.3265826944
284	0.3258682225
285	0.325331007
286	0.3248471013
287	0.3237784894
288	0.323373687
289	0.3228397894
290	0.3222560062
291	0.3212746115
292	0.3207046776
293	0.3201606312
294	0.3192530399
295	0.3187721961
296	0.3182645584
297	0.3175220001
298	0.3171038071
299	0.3164532409
